make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
SKODA,SUPERB,3.6 ELEGANCE AT,3597,5,DIESEL,44122,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,5.0L SUPERCHARGED AUTOBIOGRAPHY,5000,5,PETROL,20005,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,HARRIER,XZA AMT CAMO,1956,5,DIESEL,44440,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIGOR,REVOTRON XTA AMT,1199,5,PETROL,37685,,,,,,,,,,,,,,,,,,,
RENAULT,TRIBER,RXZ EASY R AMT,999,7,PETROL,43273,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,NEXON,XZA PLUS (S) AMT Petrol,1199,5,PETROL,43638,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,NEXON,XZA PLUS DUAL TONE (S) AMT Petrol,1199,5,PETROL,43641,,,,,,,,,,,,,,,,,,,
NISSAN,GT-R,V6,3799,4,PETROL,36506,,,,,,,,,,,,,,,,,,,
RENAULT,LODGY,85 PS RXL Stepway 8 STR,1461,8,DIESEL,36350,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,1.5 RXL PETROL,1498,5,PETROL,36572,,,,,,,,,,,,,,,,,,,
NISSAN,MICRA,MC XV dci Diesel Premium,1461,5,DIESEL,30993,,,,,,,,,,,,,,,,,,,
NISSAN,MICRA,MC XV dci Diesel,1461,5,DIESEL,30994,,,,,,,,,,,,,,,,,,,
NISSAN,SUNNY,MC XV PREMIUM(SAFETY),1461,5,DIESEL,31010,,,,,,,,,,,,,,,,,,,
NISSAN,MICRA,MC XV Petrol CVT,1198,5,PETROL,31020,,,,,,,,,,,,,,,,,,,
NISSAN,SUNNY,XV DIESEL SPL EDN,1461,5,DIESEL,31026,,,,,,,,,,,,,,,,,,,
RENAULT,LODGY,110 PS RXZ 8STR,1461,8,DIESEL,29682,,,,,,,,,,,,,,,,,,,
RENAULT,LODGY,110 PS RXZ 7STR,1461,7,DIESEL,29686,,,,,,,,,,,,,,,,,,,
NISSAN,SUNNY,XL CVT (O) Petrol,1498,5,PETROL,31028,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,G-CLASS,G 63 AMG 4MATIC CC 3982,3982,5,PETROL,43611,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,330i SPORT,1998,5,PETROL,44079,,,,,,,,,,,,,,,,,,,
AUDI,Q2,40 TFSI QUATTRO TECHNOLOGY,1984,5,PETROL,44040,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ZEST,XT REVOTRON 90PS PETROL,1193,5,PETROL,28485,,,,,,,,,,,,,,,,,,,
ISUZU,D MAX,V CROSS Z PRESTIGE 4X4 AT,1898,5,DIESEL,45114,,,,,,,,,,,,,,,,,,,
RENAULT,KIGER,RXE MT,999,5,PETROL,44651,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,SPORT 1.4 DCT PETROL,1368,5,PETROL,44699,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,EVOQUE S PETROL,1997,5,PETROL,44793,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L AUTOBIOGRAPHY PETROL,2996,5,PETROL,43865,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L VOGUE SE PETROL,2996,5,PETROL,43864,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,2.0L S PETROL,1997,5,PETROL,44218,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,2.0L HSE LUXURY PETROL,1997,5,PETROL,44221,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,2.0L SE PETROL,1997,5,PETROL,44219,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,2.0L HSE PETROL,1997,5,PETROL,44220,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 90 S PETROL,1997,5,PETROL,42988,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 90 FIRST EDITION PETROL,1997,6,PETROL,42991,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 PETROL,1997,7,PETROL,42992,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 FIRST EDITION PETROL,1997,7,PETROL,42996,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 SE PETROL,1997,7,PETROL,42994,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 90 HSE PETROL,1997,5,PETROL,42990,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY SPORT,2.0L S PETROL 7 STR,1999,7,PETROL,43580,,,,,,,,,,,,,,,,,,,
PORSCHE,PANAMERA,4,2894,4,PETROL,44603,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLE,400D 4MATIC LWB,2925,5,DIESEL,43522,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 PRESTIGE 7 STR (P),1999,7,PETROL,45129,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 SIGNATURE AT 6 STR (P),1999,6,PETROL,45135,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 SIGNATURE 6 STR (P),1999,6,PETROL,45133,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 PLATINIUM AT 6 STR (P),1999,6,PETROL,45134,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 PLATINIUM 7 STR (P),1999,7,PETROL,45132,,,,,,,,,,,,,,,,,,,
HONDA,CITY,1.5 VX (O),1497,5,PETROL,29726,,,,,,,,,,,,,,,,,,,
HONDA,CITY,VX (O) MT DIESEL,1498,5,DIESEL,29893,,,,,,,,,,,,,,,,,,,
HONDA,CITY,VX (O) MT PETROL,1497,5,PETROL,29894,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,ALPHA 1.6,1598,5,DIESEL,30131,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,ZETA 1.6,1598,5,DIESEL,30132,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,DELTA 1.6,1598,5,DIESEL,30133,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,ALPHA 1.3,1248,5,DIESEL,30134,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ZDI Plus SHVS RS,1248,5,DIESEL,30761,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ZXI Plus AT,1373,5,PETROL,31207,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ZDI Plus SHVS,1248,5,DIESEL,31230,,,,,,,,,,,,,,,,,,,
PORSCHE,718,SPYDER,3995,2,PETROL,45057,,,,,,,,,,,,,,,,,,,
PORSCHE,718,CAYMAN GT4,3995,2,PETROL,45056,,,,,,,,,,,,,,,,,,,
HONDA,ACCORD,HYBRID,1993,5,PETROL,34710,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,V-CLASS,MARCO POLO,1950,6,DIESEL,43058,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,V-CLASS,MARCO POLO HORIZON,1950,6,DIESEL,43057,,,,,,,,,,,,,,,,,,,
AUDI,Q2,40 TFSI QUATTRO PREMIUM,1984,5,PETROL,44037,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,1.0L COMFORTLINE PLUS MPI (P),999,5,PETROL,43441,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY SPORT,2.0L SE R DYNAMIC PETROL 7 STR,1999,7,PETROL,43581,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 S PETROL 5 STR,1997,5,PETROL,44149,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 90 PETROL,1997,5,PETROL,42987,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 S PETROL,1997,7,PETROL,42993,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 110 HSE PETROL,1997,7,PETROL,42995,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,2.0L 90 SE PETROL,1997,5,PETROL,42989,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,2.0L SE R DYNAMIC DIESEL 5 STR,1999,5,DIESEL,43587,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,2.0L S DIESEL 5 STR,1999,5,DIESEL,43586,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,2.0L S PETROL 5 STR,1997,5,PETROL,43584,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,2.0L SE R DYNAMIC PETROL 5 STR,1997,5,PETROL,43585,,,,,,,,,,,,,,,,,,,
JAGUAR,XF,2.0L PETROL LUXURY,1999,5,PETROL,27541,,,,,,,,,,,,,,,,,,,
AUDI,Q2,40 TFSI QUATTRO PREMIUM PLUS I,1984,5,PETROL,44038,,,,,,,,,,,,,,,,,,,
RENAULT,KIGER,RXT TURBO MT,999,5,PETROL,44665,,,,,,,,,,,,,,,,,,,
RENAULT,KIGER,RXZ AMT DUAL TONE,999,5,PETROL,44669,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,QUALIS,GS C1,2446,8,DIESEL,13076,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,QUALIS,FS B5,2446,10,DIESEL,13074,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,QUALIS,GS G5,2446,8,DIESEL,17477,,,,,,,,,,,,,,,,,,,
MAHINDRA,TUV300,T10 AMT,1493,7,DIESEL,37531,,,,,,,,,,,,,,,,,,,
SKODA,SUPERB,SPORTLINE 2.0 AT,1984,5,PETROL,43529,,,,,,,,,,,,,,,,,,,
HYUNDAI,ALCAZAR,2.0 PRESTIGE AT 6 STR (P),1999,6,PETROL,45131,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIGOR,REVOTRON XM,1199,5,PETROL,37684,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIGOR,REVOTORQ XM,1047,5,DIESEL,37687,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIGOR,REVOTRON XZA AMT,1199,5,PETROL,37686,,,,,,,,,,,,,,,,,,,
HONDA,CITY,SV DIESEL,1498,5,DIESEL,35817,,,,,,,,,,,,,,,,,,,
KIA,SELTOS,G 1.5 IVT HTX PETROL,1497,5,PETROL,43398,,,,,,,,,,,,,,,,,,,
HONDA,CITY,V PETROL,1497,5,PETROL,35813,,,,,,,,,,,,,,,,,,,
HONDA,CITY,VX PETROL,1497,5,PETROL,35815,,,,,,,,,,,,,,,,,,,
SKODA,KODIAQ,2.0 L&K TDI AT 4X4,1968,7,DIESEL,43170,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS ES,300H EXQUISITE,2487,5,PETROL,43748,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,HECTOR,1.5 SHARP TURBO DCT PLUS DT PETROL,1451,6,PETROL,44636,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L SV AUTOBIOGRAPHY LWB DIESEL,2993,5,DIESEL,45027,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L WESTMINSTER LWB DIESEL,2993,5,DIESEL,45023,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L RANGE ROVER FIFTY LWB DIESEL,2993,5,DIESEL,45026,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 110 SE DIESEL,2996,5,DIESEL,44959,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 90 HSE DIESEL,2996,5,DIESEL,44956,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 90 SE DIESEL,2996,5,DIESEL,44955,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 110 HSE DIESEL,2996,5,DIESEL,44960,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 90 X DIESEL,2996,5,DIESEL,44958,,,,,,,,,,,,,,,,,,,
LAND ROVER,DEFENDER,3.0L 110 X DIESEL,2996,5,DIESEL,44962,,,,,,,,,,,,,,,,,,,
JAGUAR,XJ,2.0 L PETROL PORTFOLIO,1999,5,PETROL,29614,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER LWB,5.0L V8 SUPERCHARGED AUTOBIOGRAPHY 5 SEATER,4999,5,PETROL,35663,,,,,,,,,,,,,,,,,,,
JAGUAR,XKR,XKR CONVERTIBLE 5.0 BASE,5000,4,PETROL,33082,,,,,,,,,,,,,,,,,,,
AUDI,Q2,40 TFSI QUATTRO STANDARD,1984,5,PETROL,44035,,,,,,,,,,,,,,,,,,,
AUDI,Q2,40 TFSI QUATTRO STANDARD WITH SUNROOF,1984,5,PETROL,44036,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,1.0L HIGHLINE PLUS (P),999,5,PETROL,38573,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,1.0L HIGHLINE (P),999,5,PETROL,38460,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,GLOSTER,2.0 SHARP TWIN TURBO 4WD 6 STR,1996,6,DIESEL,43984,,,,,,,,,,,,,,,,,,,
AUDI,A8,L 55 TFSI QUATTRO,2995,4,PETROL,42850,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER VELAR,2.0L SE DIESEL 180ps,1999,5,DIESEL,37869,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER VELAR,2.0L HSE PETROL 250ps,1997,5,PETROL,37872,,,,,,,,,,,,,,,,,,,
JAGUAR,F TYPE,S COUPE,2995,2,PETROL,38883,,,,,,,,,,,,,,,,,,,
JAGUAR,F TYPE,2.0 COUPE R DYNAMIC,1997,2,PETROL,42250,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,EVOQUE 2.0 LANDMARK EDITION,1999,5,DIESEL,38290,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,3.0L HSE DIESEL,2993,5,DIESEL,37658,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY,3.0L S DIESEL,2993,5,DIESEL,37656,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,JETTA,2.0 L CR HIGHLINE TDI MT,1968,5,DIESEL,36749,,,,,,,,,,,,,,,,,,,
HONDA,CIVIC,AT,1799,5,PETROL,21044,,,,,,,,,,,,,,,,,,,
MARUTI,KIZASHI,MT,2393,5,PETROL,21365,,,,,,,,,,,,,,,,,,,
MARUTI,KIZASHI,CVT,2393,5,PETROL,21366,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,110 PS RxS Sandstorm Edition Diesel,1461,5,DIESEL,37305,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,85 PS RxS Sandstorm Edition Diesel,1461,5,DIESEL,37306,,,,,,,,,,,,,,,,,,,
NISSAN,EVALIA,XV,1461,7,DIESEL,25274,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,85 PS RxL ADVENTURE,1461,5,DIESEL,37629,,,,,,,,,,,,,,,,,,,
RENAULT,LODGY,110 PS RXZ STEPWAY 8 STR,1461,8,DIESEL,36747,,,,,,,,,,,,,,,,,,,
HYUNDAI,CRETA,1.5 SX (O) DIESEL,1493,5,DIESEL,43113,,,,,,,,,,,,,,,,,,,
HYUNDAI,CRETA,1.4 SX TURBO 7 DCT PETROL,1353,5,PETROL,43116,,,,,,,,,,,,,,,,,,,
HYUNDAI,NEW I20,1.5 ASTA MT (O) DIESEL,1493,5,DIESEL,44190,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0 V6 DIESEL VOGUE,2993,7,DIESEL,26091,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,1.0 T(O),999,5,PETROL,36941,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L AUTOBIOGRAPHY LWB DIESEL,2993,5,DIESEL,45025,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,3.0L WESTMINSTER BLACK LWB DIESEL,2993,5,DIESEL,45024,,,,,,,,,,,,,,,,,,,
JAGUAR,I PACE,HSE,4000,5,ELECTRIC,44887,,,,,,,,,,,,,,,,,,,
JAGUAR,I PACE,S,4000,5,ELECTRIC,44885,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,1.3 RXZ TURBO MT (P),1330,5,PETROL,43627,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ALTROZ,XZ PLUS DIESEL,1497,5,DIESEL,45036,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,MB,100 D,2874,12,DIESEL,20227,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,MB,140 D,2874,15,DIESEL,19045,,,,,,,,,,,,,,,,,,,
MAHINDRA,SUPRO,LX ABS 10STR,909,10,DIESEL,42438,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,WINGER,LUXURY AC 2179CC,2179,10,DIESEL,44481,,,,,,,,,,,,,,,,,,,
MARUTI,VITARA BREZZA,ZXI,1462,5,PETROL,42938,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER,TDV8,3628,5,DIESEL,18047,,,,,,,,,,,,,,,,,,,
JAGUAR,F-PACE,PRESTIGE PETROL,1997,5,PETROL,40035,,,,,,,,,,,,,,,,,,,
LAND ROVER,DISCOVERY SPORT,HSE LUXURY 7 SEATER,2179,7,DIESEL,30294,,,,,,,,,,,,,,,,,,,
LAND ROVER,RANGE ROVER SPORT,3.0 TDV6 SE 5 STR,2993,5,DIESEL,27769,,,,,,,,,,,,,,,,,,,
NISSAN,X-TRAIL,ELEGANCE,2184,5,DIESEL,12868,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,HECTOR,2.0 SMART DIESEL,1956,5,DIESEL,41536,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,HECTOR,2.0 SHARP DIESEL,1956,5,DIESEL,41537,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ALTROZ,XM PLUS DIESEL,1497,5,DIESEL,45311,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ZEST,XM REVOTRON 90PS PETROL,1193,5,PETROL,28481,,,,,,,,,,,,,,,,,,,
BMW,X7,xDRIVE 40I M SPORT,2998,6,PETROL,44114,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10 NIOS,ASTA U2 1.2 CRDI,1186,5,DIESEL,41787,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10 NIOS,MAGNA 1.2 CNG,1197,5,CNG,42907,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 CNG,1197,5,CNG,42906,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,NEOTECH,799,5,PETROL,44089,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 D AMG LINE,2925,5,DIESEL,44906,,,,,,,,,,,,,,,,,,,
DATSUN,GO,A,1198,5,PETROL,27775,,,,,,,,,,,,,,,,,,,
NISSAN,MICRA,XE DIESEL,1461,5,DIESEL,29226,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,85 PS RxL DIESEL PLUS,1461,5,DIESEL,29231,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,110 PS RxL DIESEL EXPLORE,1461,5,DIESEL,30423,,,,,,,,,,,,,,,,,,,
RENAULT,DUSTER,85 PS RxE DIESEL ADVENTURE,1461,5,DIESEL,29397,,,,,,,,,,,,,,,,,,,
RENAULT,SCALA,RxE DIESEL,1461,5,DIESEL,27987,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,STD,799,5,PETROL,30385,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,RXT OPT,799,5,PETROL,30380,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,RXT,799,5,PETROL,30381,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,RXL,799,5,PETROL,30382,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,FORTUNER,2.8 LEGENDER 4x2 AT,2755,7,DIESEL,44453,,,,,,,,,,,,,,,,,,,
BMW,X5,xDRIVE 30D SPORT X,2993,5,DIESEL,44455,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS LX,LX 570 8 STR,5663,8,PETROL,39279,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LONGITUDE 2.0 DIESEL 4X4 AT,1956,5,DIESEL,43361,,,,,,,,,,,,,,,,,,,
MARUTI,S-PRESSO,LXI CNG,998,4,CNG,43371,,,,,,,,,,,,,,,,,,,
MARUTI,S-PRESSO,VXI (O) CNG,998,4,CNG,43374,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.0 SX (O) TURBO PETROL,998,5,PETROL,43573,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT CORPORATE EDITION,1197,5,PETROL,43833,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ALTROZ,XZ PLUS DARK EDITION PETROL,1199,5,PETROL,45360,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 SX DUAL TONE CRDI,1493,5,DIESEL,43014,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 E CRDI,1493,5,DIESEL,43012,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 S CRDI,1493,5,DIESEL,43013,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 SX (O) CRDI,1493,5,DIESEL,43015,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 SX (O) DUAL TONE CRDI,1493,5,DIESEL,43016,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.5 SX CRDI,1493,5,DIESEL,43011,,,,,,,,,,,,,,,,,,,
HYUNDAI,VENUE,1.0 S TURBO (P),998,5,PETROL,43505,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,1.0 GT TSI,999,5,PETROL,43708,,,,,,,,,,,,,,,,,,,
HONDA,AMAZE,1.5 V i-DTEC,1498,5,DIESEL,38661,,,,,,,,,,,,,,,,,,,
HONDA,AMAZE,1.5 SMT i-DTEC,1498,5,DIESEL,26520,,,,,,,,,,,,,,,,,,,
KIA,SONET,1.5 HTX AT,1493,5,DIESEL,45236,,,,,,,,,,,,,,,,,,,
MARUTI,GRAND VITARA,MANUAL TRANSMISSION  7 SEATER,1995,7,PETROL,32717,,,,,,,,,,,,,,,,,,,
NISSAN,EVALIA,XE Plus Pack 2.5,1461,7,DIESEL,31008,,,,,,,,,,,,,,,,,,,
NISSAN,EVALIA,XL,1461,7,DIESEL,25277,,,,,,,,,,,,,,,,,,,
DATSUN,GO PLUS,T XV,1198,7,PETROL,31017,,,,,,,,,,,,,,,,,,,
NISSAN,KICKS,XE 1.5 D,1461,5,DIESEL,42415,,,,,,,,,,,,,,,,,,,
DATSUN,GO,D,1198,5,PETROL,27774,,,,,,,,,,,,,,,,,,,
DATSUN,GO,D1,1198,5,PETROL,28398,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,A,799,5,PETROL,31804,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,T(O),799,5,PETROL,31801,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,1.0 RXT (O) EASY R,999,5,PETROL,42267,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,1.0 RXT EASY R,999,5,PETROL,42266,,,,,,,,,,,,,,,,,,,
DATSUN,GO,ANNIVERSARY EDITION,1198,5,PETROL,38254,,,,,,,,,,,,,,,,,,,
FERRARI,ROMA,NULL,3855,2,PETROL,44557,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,S 1.4 DCT PETROL,1368,5,PETROL,44560,,,,,,,,,,,,,,,,,,,
ROLLS-ROYCE,PHANTOM VIII,SEDAN,6749,5,PETROL,45416,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,GOLD LIMITED  EDITION,999,5,PETROL,37391,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,SPORT,799,5,PETROL,32487,,,,,,,,,,,,,,,,,,,
DATSUN,REDI GO,1.0 T(O) AMT,999,5,PETROL,38610,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,1.0 RXL AMT,999,5,PETROL,36144,,,,,,,,,,,,,,,,,,,
HYUNDAI,XCENT,PRIME T CRDI,1197,5,DIESEL,45524,,,,,,,,,,,,,,,,,,,
RENAULT,KWID,CLIMBER 1.0 AMT (O),999,5,PETROL,42080,,,,,,,,,,,,,,,,,,,
DATSUN,GO PLUS,T (O) W/VDC,1198,7,PETROL,41514,,,,,,,,,,,,,,,,,,,
HYUNDAI,ELANTRA,1.5 SX (O) AT,1493,5,DIESEL,43545,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,530i SPORT,1998,5,PETROL,44018,,,,,,,,,,,,,,,,,,,
HYUNDAI,NEW I20,1.2 MAGNA MT,1197,5,PETROL,44182,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 S PLUS VTVT,1497,5,PETROL,44859,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,HECTOR,1.5 SMART CVT PETROL 5 STR,1451,5,PETROL,45234,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,2.0 STYLE AT,1984,5,PETROL,45100,,,,,,,,,,,,,,,,,,,
BMW,M5,COMPETITION,4395,5,PETROL,43460,,,,,,,,,,,,,,,,,,,
SKODA,KUSHAQ,1.5 STYLE TSI DSG AT,1498,5,PETROL,45220,,,,,,,,,,,,,,,,,,,
HONDA,CITY,V CVT PETROL,1497,5,PETROL,35814,,,,,,,,,,,,,,,,,,,
AUDI,RS5,SPORTBACK,2894,5,PETROL,45443,,,,,,,,,,,,,,,,,,,
HONDA,AMAZE,S MT SPECIAL EDITION (D),1498,5,DIESEL,44289,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 E VTVT,1497,5,PETROL,44062,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10 NIOS,ASTA AMT 1.2 KAPPA VTVT,1197,5,PETROL,43025,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 SX CRDI,1493,5,DIESEL,43212,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 SX (O) CRDI,1493,5,DIESEL,43213,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 SX (O) AT CRDI,1493,5,DIESEL,43214,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,1.5 SX AT CRDI,1493,5,DIESEL,43215,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ALPHA 1.5 AT,1462,5,PETROL,39245,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ZETA 1.5 AT,1462,5,PETROL,39254,,,,,,,,,,,,,,,,,,,
HONDA,CR-V,2.0 CVT PETROL,1997,5,PETROL,39632,,,,,,,,,,,,,,,,,,,
HONDA,CR-V,1.6 9AT DIESEL,1597,7,DIESEL,39633,,,,,,,,,,,,,,,,,,,
HONDA,CR-V,1.6 AWD AT DIESEL,1597,7,DIESEL,39634,,,,,,,,,,,,,,,,,,,
HONDA,CITY,ANNIVERSARY EDITION PETROL,1497,5,PETROL,39918,,,,,,,,,,,,,,,,,,,
