make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.7 VX MT 7 STR,2694,7,PETROL,32413,,,,,,,,,,,,,,,,,,,
FORD,ENDEAVOUR,XLT 4X4,2499,7,DIESEL,16968,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR STYLE AT,1498,5,DIESEL,33621,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR ELEGANCE PLUS,1498,5,DIESEL,30463,,,,,,,,,,,,,,,,,,,
SKODA,SUPERB,2.0 TDI PD,1968,5,DIESEL,19877,,,,,,,,,,,,,,,,,,,
VOLVO,S80,KINETIC D3,1984,5,DIESEL,26428,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GL,350 CDI EXECUTIVE,2987,7,DIESEL,24170,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.3 LS,1248,5,DIESEL,25893,,,,,,,,,,,,,,,,,,,
BMW,6-SERIES,640 D,2993,4,DIESEL,22988,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,GT 530D LE,2993,5,DIESEL,20119,,,,,,,,,,,,,,,,,,,
BMW,X1,XDRIVE 20D XLINE,1995,5,DIESEL,32480,,,,,,,,,,,,,,,,,,,
BMW,X6,XDRIVE 40D,2993,5,DIESEL,25810,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,525D,1995,5,DIESEL,26217,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,730 LD M SPORT,2993,5,DIESEL,31830,,,,,,,,,,,,,,,,,,,
BMW,X1,XDRIVE 20D M SPORT,1995,5,DIESEL,32481,,,,,,,,,,,,,,,,,,,
BMW,X5,xDRIVE 30D DESIGN PURE EXPERIENCE 7STR,2993,7,DIESEL,31888,,,,,,,,,,,,,,,,,,,
BMW,X5,xDRIVE 30D DESIGN PURE EXPERIENCE,2993,5,DIESEL,31889,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,320D PRESTIGE,1995,5,DIESEL,31867,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,320D,1995,5,DIESEL,27421,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,520D M SPORT,1995,5,DIESEL,32388,,,,,,,,,,,,,,,,,,,
BMW,X5,xDRIVE 30D EXPEDITION 5STR,2993,5,DIESEL,30627,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D M SPORT,2993,5,DIESEL,31324,,,,,,,,,,,,,,,,,,,
BMW,GRAN TURISMO,LUXURY LINE,1995,5,DIESEL,29216,,,,,,,,,,,,,,,,,,,
BMW,X6,XDRIVE 30D,2993,5,DIESEL,12449,,,,,,,,,,,,,,,,,,,
BMW,X5,xDRIVE 30D,2993,5,DIESEL,22067,,,,,,,,,,,,,,,,,,,
SKODA,LAURA,1.9 TDI AT,1896,5,DIESEL,19905,,,,,,,,,,,,,,,,,,,
SKODA,LAURA,L AND K 1.9 PD AT,1896,5,DIESEL,12914,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GL,350 CDI GRAND LUXURY,2987,7,DIESEL,24261,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E220 CDI ELEGANCE,2143,5,DIESEL,22965,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E220 CDI BLUE EFFICIENCY,2143,5,DIESEL,32497,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,S-CLASS,320 CDI L,2987,5,DIESEL,17046,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,220 CDI SPORT,2148,5,DIESEL,26623,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLE,350 D 4MATIC,2987,5,DIESEL,30603,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLA,200 CDI STYLE,2143,5,DIESEL,28764,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,240 D,2400,5,DIESEL,23153,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 250 CDI CLASSIC,2143,5,DIESEL,21584,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 COUPE,3498,4,DIESEL,21582,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,C 220 CDI GRAND EDITION,2143,5,DIESEL,27663,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,M-CLASS,ML 250 CDI,2143,5,DIESEL,25644,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 CDI AVANTGARDE,2987,5,DIESEL,21585,,,,,,,,,,,,,,,,,,,
VOLVO,XC90,D5 AWD,2400,7,DIESEL,13091,,,,,,,,,,,,,,,,,,,
VOLVO,S60,T5,2400,5,DIESEL,24107,,,,,,,,,,,,,,,,,,,
VOLVO,S60,D4 KINETIC,1984,5,DIESEL,25781,,,,,,,,,,,,,,,,,,,
VOLVO,XC60,MOMENTUM D4,1969,5,DIESEL,31429,,,,,,,,,,,,,,,,,,,
